avg_temp_c,avg_humidity_pct,soil_moisture_pct,soil_ph,nitrogen_ppm,phosphorus_ppm,potassium_ppm,ndvi_index,pest_pressure_score,vpd_kpa,total_npk_ppm,ph_deviation,region_Zone_B_West,region_Zone_C_South,region_Zone_D_East,crop_type_Soybean,crop_type_Sugarcane,crop_type_Tomato,crop_type_Wheat,growth_stage_Fruiting,growth_stage_Maturation,growth_stage_Vegetative
28.97,72.67,44.81,7.47,92.86,37.64,127.54,0.484,50.1,1.093,258.04,0.46999999999999975,False,False,False,False,False,False,False,False,True,False
26.86,63.54,32.02,6.82,125.3,73.37,170.59,0.381,45.9,1.289,369.26,0.17999999999999972,False,False,True,False,False,False,False,True,False,False
27.23,67.78,64.1,8.22,69.01,45.66,158.16,0.387,50.5,1.164,272.83,1.2200000000000006,True,False,False,False,False,False,False,False,False,True
28.42,65.77,33.67,5.95,134.82,17.0,201.9,0.455,59.4,1.326,353.72,1.0499999999999998,True,False,False,False,False,False,True,True,False,False
30.81,59.01,70.71,8.02,129.2,63.35,126.92,0.508,47.3,1.822,319.46999999999997,1.0199999999999996,False,True,False,False,True,False,False,False,False,False
28.32,49.98,50.62,5.85,142.91,39.39,156.36,0.532,39.9,1.926,338.66,1.1500000000000004,False,True,False,False,True,False,False,False,False,True
25.76,79.86,49.08,6.32,159.49,35.45,197.19,0.464,53.9,0.667,392.13,0.6799999999999997,False,True,False,False,False,False,False,False,False,False
29.0,58.22,30.79,5.81,59.87,56.31,144.0,0.314,24.1,1.674,260.18,1.1900000000000004,True,False,False,False,False,False,False,False,False,False
31.86,40.86,21.54,6.37,70.78,65.44,121.88,0.343,48.9,2.79,258.1,0.6299999999999999,True,False,False,False,False,False,False,False,False,False
23.66,74.14,67.99,7.24,128.07,27.32,144.46,0.574,52.4,0.756,299.85,0.2400000000000002,False,False,False,False,False,False,False,True,False,False
30.84,68.4,50.38,6.22,143.1,57.39,201.82,0.543,39.4,1.407,402.31,0.7800000000000002,False,True,False,False,False,False,True,False,False,True
31.51,61.07,33.81,6.23,88.15,32.28,74.42,0.437,56.8,1.8,194.85000000000002,0.7699999999999996,False,False,False,False,False,True,False,False,False,True
27.89,55.2,45.79,6.79,92.43,62.58,232.94,0.35,53.4,1.683,387.95,0.20999999999999996,False,True,False,False,False,False,False,False,False,True
28.27,80.59,50.21,6.71,167.53,32.08,152.45,0.62,72.5,0.745,352.06,0.29000000000000004,False,False,False,False,False,False,False,False,False,False
30.53,70.76,57.54,7.31,97.45,60.5,204.18,0.468,74.1,1.279,362.13,0.3099999999999996,False,False,False,False,False,False,False,False,False,False
26.37,53.61,46.515,7.1,116.84,30.91,193.18,0.496,38.2,1.594,340.93,0.09999999999999964,False,False,True,False,True,False,False,False,True,False
22.89,57.06,41.25,7.19,66.13,70.89,132.83,0.409,50.3,1.198,269.85,0.1900000000000004,False,True,False,False,False,False,True,False,False,True
34.94,62.25,51.97,5.3,167.93,36.51,100.37,0.4655,57.4,2.115,304.81,1.7000000000000002,False,False,True,False,True,False,False,False,True,False
26.12,74.2,52.81,7.51,132.57,73.17,241.99,0.445,73.5,0.873,447.73,0.5099999999999998,True,False,False,False,True,False,False,False,False,True
27.91,80.08,56.1,7.15,85.25,34.68,111.95,0.508,58.6,0.749,231.88,0.15000000000000036,True,False,False,False,False,False,False,False,True,False
29.26,48.24,53.67,7.8,94.78,64.41,188.75,0.446,33.9,2.105,347.94,0.7999999999999998,False,True,False,False,False,False,False,False,False,True
25.94,65.17,37.61,7.47,82.62,30.71,192.29,0.573,56.2,1.167,305.62,0.46999999999999975,False,True,False,False,False,False,True,False,False,False
29.0,66.6,46.2,7.78,109.55,33.82,180.34,0.275,46.9,1.338,323.71000000000004,0.7800000000000002,True,False,False,True,False,False,False,True,False,False
27.96,44.99,54.34,7.82,130.75,33.63,235.06,0.437,44.4,2.074,399.44,0.8200000000000003,False,False,True,False,True,False,False,False,False,False
27.88,86.19,25.34,6.61,83.63,50.14,135.35,0.326,73.4,0.518,269.12,0.3899999999999997,False,True,False,False,False,False,True,False,True,False
34.04,64.83,27.61,6.15,55.4,38.86,227.31,0.264,59.4,1.875,321.57,0.8499999999999996,False,True,False,False,False,True,False,False,False,False
24.27,92.9,30.51,6.91,69.52,49.05,167.85,0.289,61.6,0.215,286.41999999999996,0.08999999999999986,False,False,True,False,False,False,True,False,False,False
29.94,57.41,55.64,6.7,83.47,43.36,173.81,0.348,52.8,1.801,300.64,0.2999999999999998,False,False,False,False,False,False,True,False,False,False
27.46,53.64,20.55,6.18,139.48,61.28,217.06,0.295,64.8,1.698,417.82,0.8200000000000003,False,False,False,False,True,False,False,False,False,False
29.25,62.78,13.58,6.21,124.43,39.59,89.55,0.416,54.6,1.513,253.57,0.79,False,True,False,False,True,False,False,False,False,False
31.19,78.51,37.12,7.01,158.54,31.44,199.25,0.579,52.4,0.976,389.23,0.009999999999999787,False,False,False,False,False,False,True,False,False,True
28.95,71.3,28.21,7.78,146.39,9.4,204.48,0.549,55.3,1.146,360.27,0.7800000000000002,False,False,True,False,True,False,False,False,False,False
29.82,62.19,29.03,7.24,69.17,45.16,163.12,0.455,64.3,1.588,277.45,0.2400000000000002,False,True,False,False,False,False,True,True,False,False
25.75,63.41,34.51,7.37,94.86,32.14,213.53,0.349,23.9,1.212,340.53,0.3700000000000001,False,False,True,False,False,False,True,True,False,False
38.78,55.31,17.99,7.48,124.98,22.46,141.61,0.354,73.9,3.088,289.05,0.4800000000000004,False,True,False,False,False,False,False,False,False,True
27.62,59.99,36.08,6.71,66.5,49.74,198.87,0.297,41.3,1.479,315.11,0.29000000000000004,False,True,False,False,True,False,False,False,False,False
28.28,57.5,51.96,4.88,162.29,58.83,162.25,0.509,44.1,1.633,383.37,2.12,False,False,True,False,False,False,False,False,False,False
36.07,60.4,50.56,8.51,107.12,22.15,166.87,0.38,52.4,2.362,296.14,1.5099999999999998,True,False,False,False,False,False,False,False,False,True
28.67,53.97,46.1,6.95,102.83,45.93,183.43,0.469,51.0,1.809,332.19,0.04999999999999982,False,False,False,False,True,False,False,False,False,False
33.9,64.65,35.24,6.77,129.09,38.27,206.0,0.445,40.0,1.87,373.36,0.23000000000000043,False,False,False,True,False,False,False,False,False,True
28.13,74.74,37.42,6.73,104.63,55.12,165.05,0.29,60.3,0.962,324.8,0.2699999999999996,False,False,True,False,False,False,False,False,False,False
25.73,48.79,35.87,6.76,137.67,29.12,165.57,0.445,46.2,1.694,332.36,0.2400000000000002,False,False,False,False,True,False,False,False,False,False
24.46,65.43,26.15,6.52,122.93,50.74,121.82,0.48,46.8,1.06,295.49,0.4800000000000004,False,False,False,False,True,False,False,True,False,False
30.73,67.69,44.795,6.03,155.02,38.55,188.66,0.412,37.7,1.429,382.23,0.9699999999999998,False,False,True,False,True,False,False,False,False,True
34.1,61.69,66.41,6.95,109.69,55.98,197.08,0.496,73.2,2.049,362.75,0.04999999999999982,False,False,True,False,False,False,True,False,False,True
29.72,53.21,59.76,7.97,107.72,28.23,206.03,0.472,39.8,1.954,341.98,0.9699999999999998,True,False,False,True,False,False,False,False,True,False
28.19,67.45,58.09,7.17,108.97,27.72,250.45,0.564,49.7,1.244,387.14,0.16999999999999993,False,True,False,False,True,False,False,False,False,False
31.93,49.34,47.29,6.27,123.88,24.03,150.94,0.628,45.4,2.399,298.85,0.7300000000000004,True,False,False,False,False,True,False,False,False,True
27.01,55.33,35.69,6.9,178.03,55.33,161.39,0.453,52.0,1.594,394.75,0.09999999999999964,False,True,False,True,False,False,False,False,False,False
19.35,81.06,36.49,7.18,92.47,43.71,131.55,0.577,52.9,0.425,267.73,0.17999999999999972,False,False,True,False,False,False,False,False,False,False
26.79,82.24,49.01,7.02,114.25,73.87,194.98,0.38,68.2,0.625,383.1,0.019999999999999574,False,False,False,True,False,False,False,False,False,True
30.56,77.06,40.15,7.14,87.1,70.25,268.37,0.447,49.9,1.005,425.72,0.13999999999999968,True,False,False,False,False,False,False,False,True,False
27.36,73.35,44.91,6.19,139.29,35.24,214.25,0.4525,58.2,0.97,388.78,0.8099999999999996,False,False,True,False,False,False,False,False,False,True
26.12,47.79,56.58,6.18,151.52,60.5,250.54,0.486,47.8,1.767,462.56,0.8200000000000003,False,True,False,False,False,False,True,False,False,False
33.06,82.0,27.2,7.07,133.22,62.07,219.44,0.353,73.1,0.908,414.73,0.07000000000000028,True,False,False,False,False,False,False,False,False,True
23.38,81.17,50.51,8.91,110.04,37.12,239.98,0.488,62.6,0.541,387.14,1.9100000000000001,False,True,False,False,False,False,True,False,False,True
26.4,61.16,54.41,7.05,104.31,44.57,166.62,0.477,51.9,1.337,315.5,0.04999999999999982,False,True,False,True,False,False,False,True,False,False
30.4,83.44,33.26,6.53,154.39,9.75,166.02,0.413,77.1,0.719,330.15999999999997,0.46999999999999975,False,True,False,False,False,False,False,False,False,True
35.16,69.99,30.59,6.57,114.94,16.9,210.66,0.328,61.9,1.702,342.5,0.4299999999999997,False,False,False,True,False,False,False,False,False,False
32.38,46.64,18.04,7.52,87.48,34.9,168.81,0.378,59.9,2.592,291.19,0.5199999999999996,True,False,False,False,True,False,False,False,False,True
32.69,52.46,33.1,5.67,97.67,48.71,158.03,0.333,50.5,2.35,304.40999999999997,1.33,False,False,False,False,False,False,True,False,False,True
33.44,65.39,43.62,7.77,174.46,66.0,181.86,0.617,40.7,1.784,422.32000000000005,0.7699999999999996,False,False,True,False,False,True,False,False,True,False
24.41,53.76,63.73,5.68,134.17,25.48,143.51,0.522,44.0,1.414,303.15999999999997,1.3200000000000003,False,False,False,False,True,False,False,True,False,False
35.95,42.8,43.25,6.71,187.35,42.19,180.47,0.469,39.2,3.389,410.01,0.29000000000000004,True,False,False,False,True,False,False,False,False,False
23.53,83.57,64.5,6.31,71.17,41.37,169.95,0.348,59.3,0.477,282.49,0.6900000000000004,False,False,True,True,False,False,False,True,False,False
38.35,47.24,29.61,6.67,108.55,49.47,153.9,0.416,59.0,3.562,311.91999999999996,0.33000000000000007,False,False,True,True,False,False,False,False,False,True
26.23,61.33,73.96,6.755,124.12,22.68,220.8,0.753,59.9,1.318,367.6,0.2450000000000001,False,False,False,False,True,False,False,False,False,True
33.36,59.57,44.39,7.15,125.14,28.84,198.15,0.375,58.5,2.075,352.13,0.15000000000000036,False,False,False,False,True,False,False,True,False,False
31.22,58.2,13.53,6.06,78.97,57.73,168.52,0.301,72.5,1.901,305.22,0.9400000000000004,False,True,False,False,False,False,True,False,False,True
36.3,62.66,57.6,6.42,109.52,5.68,176.65,0.515,62.7,2.255,291.85,0.5800000000000001,False,False,False,False,False,False,False,False,False,True
31.78,72.27,49.56,7.08,135.73,51.04,227.91,0.42,62.5,1.302,414.67999999999995,0.08000000000000007,True,False,False,False,False,True,False,True,False,False
34.3,54.77,39.25,6.73,102.66,39.65,157.71,0.491,42.1,2.446,300.02,0.2699999999999996,True,False,False,False,False,False,True,False,False,True
32.75,82.27,55.32,6.29,151.83,55.84,168.02,0.471,52.0,0.879,375.69000000000005,0.71,False,True,False,False,False,False,False,False,False,False
36.08,81.94,42.39,6.65,140.04,55.75,282.64,0.442,62.9,1.078,478.42999999999995,0.34999999999999964,False,False,False,False,True,False,False,True,False,False
29.8,73.37,3.14,7.26,56.79,64.1,177.69,0.248,70.2,1.117,298.58,0.2599999999999998,False,False,True,True,False,False,False,True,False,False
26.98,67.49,50.0,7.5,124.03,36.91,216.34,0.573,33.9,1.158,377.28,0.5,True,False,False,True,False,False,False,False,False,True
21.88,50.91,65.73,5.8,87.19,52.14,242.35,0.457,43.0,1.288,381.67999999999995,1.2000000000000002,True,False,False,False,True,False,False,False,False,False
36.54,76.4,44.13,7.0,54.48,46.56,133.87,0.331,53.2,1.444,234.91,0.0,False,False,False,False,False,False,False,False,False,False
31.57,48.52,63.93,7.29,123.04,40.59,188.42,0.496,26.6,2.389,352.04999999999995,0.29000000000000004,False,True,False,True,False,False,False,True,False,False
34.8,65.2,58.99,7.91,118.56,51.15,235.75,0.389,45.2,1.935,405.46000000000004,0.9100000000000001,False,False,True,False,False,False,True,False,False,True
33.12,53.6,42.34,7.19,103.37,15.55,184.18,0.365,40.1,2.35,303.1,0.1900000000000004,False,False,False,False,False,False,False,False,False,True
34.66,72.71,65.4,5.97,70.24,33.07,128.69,0.619,63.6,1.506,232.0,1.0300000000000002,False,True,False,False,False,False,False,False,False,False
28.58,51.24,45.49,7.71,149.39,26.6,208.41,0.668,57.6,1.906,384.4,0.71,False,False,False,True,False,False,False,False,False,False
32.69,75.95,60.18,7.18,108.24,29.06,137.26,0.505,65.8,1.189,274.55999999999995,0.17999999999999972,True,False,False,False,False,False,False,False,False,True
25.39,54.1,47.01,7.2,153.1,34.3,211.11,0.469,41.8,1.488,398.51,0.20000000000000018,False,False,True,False,False,False,True,False,False,True
27.25,64.985,48.99,7.51,173.3,28.21,229.46,0.59,57.7,1.267,430.97,0.5099999999999998,False,False,False,False,False,False,True,False,False,True
