field_id,region,crop_type,growth_stage,avg_temp_c,avg_humidity_pct,soil_moisture_pct,soil_ph,nitrogen_ppm,phosphorus_ppm,potassium_ppm,ndvi_index,pest_pressure_score,intervention_required
PLOT_202,Zone_A_North,Wheat,Flowering,31.43,58.06,44.4,6.78,148.11,25.12,175.68,0.469,47.6,0
PLOT_192,Zone_C_South,Cotton,Maturation,32.25,55.78,,5.58,78.49,36.97,198.18,0.28,45.3,0
PLOT_114,Zone_B_West,Cotton,Flowering,37.39,52.41,37.79,8.19,162.87,48.11,197.07,,48.4,0
PLOT_206,Zone_C_South,Cotton,Vegetative,27.08,,65.8,5.83,128.3,83.06,77.75,0.663,55.6,0
PLOT_171,Zone_D_East,Cotton,Flowering,28.72,60.5,29.6,6.17,130.69,26.22,161.85,0.403,48.7,0
PLOT_120,Zone_C_South,Wheat,Fruiting,30.71,64.73,,5.72,148.2,43.87,229.72,0.448,64.1,0
PLOT_202,Zone_D_East,Cotton,Fruiting,19.74,67.8,25.43,7.62,154.74,48.14,213.01,0.485,29.6,0
PLOT_221,Zone_A_North,Soybean,Flowering,29.21,59.96,87.9,9.1,121.64,56.89,233.77,0.659,31.6,0
PLOT_174,Zone_C_South,Sugarcane,Flowering,30.58,43.59,15.7,6.64,85.57,31.51,184.74,0.302,51.6,0
PLOT_187,Zone_B_West,Wheat,Fruiting,24.82,51.56,39.72,8.4,39.08,49.29,238.35,0.437,43.3,0
PLOT_216,Zone_C_South,Cotton,Fruiting,39.85,58.84,72.3,8.55,115.71,79.19,157.72,0.594,47.2,0
PLOT_199,Zone_C_South,Sugarcane,Fruiting,29.86,77.39,65.73,6.89,119.39,26.74,145.65,0.506,52.2,0
PLOT_203,Zone_D_East,Sugarcane,Fruiting,24.67,63.79,50.13,6.64,138.81,47.15,186.11,0.38,57.9,0
PLOT_230,Zone_D_East,Cotton,Flowering,25.53,70.12,52.36,6.51,88.94,56.35,166.85,0.54,58.8,0
PLOT_249,Zone_B_West,Sugarcane,Vegetative,24.39,81.81,28.78,6.93,150.72,45.89,234.07,0.41,78.1,0
PLOT_152,Zone_A_North,Tomato,Vegetative,24.56,63.0,22.1,8.35,179.23,47.12,224.21,0.34,47.2,1
PLOT_101,Zone_A_North,Wheat,Maturation,30.26,64.88,35.16,6.94,106.14,54.99,183.46,0.346,72.7,1
PLOT_187,Zone_D_East,Cotton,Vegetative,30.73,65.46,37.21,6.6,152.51,46.09,173.69,0.391,50.8,0
PLOT_137,Zone_B_West,Cotton,Flowering,30.84,65.76,52.78,6.78,156.91,55.97,181.64,0.568,59.5,0
PLOT_229,Zone_C_South,Sugarcane,Maturation,32.02,52.5,43.6,7.19,160.83,39.83,198.16,0.433,58.0,0
PLOT_120,Zone_B_West,Wheat,Vegetative,30.7,71.0,70.02,6.43,158.37,51.65,196.95,0.577,46.8,0
PLOT_157,Zone_B_West,Wheat,Fruiting,39.82,66.2,48.93,6.57,155.13,35.24,228.45,0.531,59.8,0
PLOT_121,Zone_B_West,Cotton,Fruiting,33.21,55.07,20.64,6.28,133.46,41.81,231.45,0.473,39.3,1
PLOT_188,Zone_A_North,Tomato,Maturation,23.12,62.91,23.45,6.0,157.58,44.45,117.08,0.439,43.0,0
PLOT_148,Zone_C_South,Soybean,Vegetative,28.68,42.7,39.3,7.26,114.15,33.81,199.29,0.355,44.6,0
PLOT_158,Zone_B_West,Sugarcane,Vegetative,22.63,46.6,34.32,6.02,150.41,21.28,162.6,0.446,42.9,0
PLOT_114,Zone_A_North,Soybean,Maturation,28.61,75.62,44.73,6.75,180.89,26.3,206.03,0.387,59.4,0
PLOT_150,Zone_A_North,Wheat,Vegetative,21.18,62.4,56.76,6.53,77.23,41.45,215.42,0.333,23.4,0
PLOT_207,Zone_D_East,Tomato,Flowering,27.28,80.97,54.1,7.52,77.32,60.91,128.36,,62.4,0
PLOT_154,Zone_C_South,Sugarcane,Fruiting,27.94,65.75,28.58,6.56,111.54,50.35,202.09,0.392,55.3,0
PLOT_163,Zone_B_West,Cotton,Vegetative,21.51,67.64,62.85,7.27,140.43,59.94,188.68,0.584,55.3,0
PLOT_230,Zone_C_South,Soybean,Maturation,28.58,64.74,39.84,5.52,102.18,54.42,221.4,0.485,56.6,0
PLOT_150,Zone_D_East,Soybean,Fruiting,26.56,52.88,45.72,7.76,131.91,59.64,207.51,0.462,28.3,0
PLOT_234,Zone_D_East,Soybean,Vegetative,22.81,69.93,31.47,7.24,126.24,38.54,146.55,0.443,56.2,0
